iter	Passed	Remaining
0	57	57790
1	58	29038
2	58	19487
3	59	14697
4	59	11818
5	59	9908
6	60	8527
7	60	7504
8	60	6693
9	61	6057
10	61	5525
11	61	5082
12	62	4719
13	62	4405
14	62	4133
15	63	3889
16	63	3676
17	63	3488
18	64	3319
19	64	3169
20	65	3033
21	65	2907
22	65	2792
23	66	2686
24	66	2592
25	66	2499
26	67	2416
27	67	2337
28	67	2264
29	67	2196
30	68	2132
31	68	2073
32	68	2017
33	69	1967
34	69	1917
35	69	1869
36	70	1826
37	70	1786
38	70	1746
39	71	1707
40	71	1670
41	71	1634
42	72	1603
43	72	1572
44	72	1541
45	72	1512
46	73	1483
47	73	1457
48	73	1431
49	74	1408
50	74	1384
51	74	1361
52	75	1341
53	75	1321
54	75	1302
55	76	1283
56	76	1266
57	76	1248
58	77	1232
59	77	1215
60	78	1201
61	78	1184
62	78	1169
63	78	1153
64	79	1139
65	79	1125
66	79	1112
67	80	1097
68	80	1084
69	80	1072
70	81	1061
71	81	1049
72	81	1039
73	82	1027
74	82	1016
75	82	1005
76	82	993
77	83	984
78	83	974
79	83	965
80	84	956
81	84	946
82	84	937
83	85	929
84	85	918
85	85	910
86	85	901
87	86	894
88	86	886
89	86	878
90	87	871
91	87	863
92	87	856
93	88	850
94	88	843
95	88	836
96	89	829
97	89	824
98	89	818
99	90	812
100	90	806
101	90	799
102	91	793
103	91	787
104	91	782
105	92	776
106	92	770
107	92	765
108	92	760
109	93	755
110	93	750
111	93	744
112	94	739
113	94	734
114	94	730
115	95	725
116	95	721
117	95	715
118	96	711
119	96	706
120	96	702
121	96	697
122	97	692
123	97	688
124	97	684
125	98	679
126	98	675
127	98	671
128	98	667
129	99	664
130	99	660
131	99	656
132	100	653
133	100	649
134	100	645
135	101	642
136	101	638
137	101	635
138	102	632
139	102	629
140	102	626
141	103	622
142	103	619
143	103	616
144	104	614
145	104	611
146	104	608
147	105	605
148	105	602
149	105	599
150	106	596
151	106	593
152	106	590
153	106	587
154	107	584
155	107	582
156	107	579
157	108	576
158	108	574
159	108	571
160	109	568
161	109	566
162	109	563
163	110	560
164	110	558
165	110	556
166	111	554
167	111	552
168	111	549
169	112	547
170	112	545
171	112	543
172	113	541
173	113	538
174	113	537
175	114	535
176	114	532
177	114	530
178	115	528
179	115	526
180	115	524
181	116	522
182	116	520
183	116	518
184	117	516
185	117	513
186	117	511
187	118	510
188	118	508
189	118	506
190	119	504
191	119	502
192	119	501
193	120	499
194	120	497
195	120	495
196	121	494
197	121	492
198	121	490
199	122	488
200	122	486
201	122	485
202	123	483
203	123	481
204	123	479
205	124	477
206	124	476
207	124	474
208	124	473
209	125	471
210	125	469
211	125	468
212	126	466
213	126	464
214	126	463
215	127	461
216	127	459
217	127	458
218	128	456
219	128	455
220	128	453
221	129	452
222	129	451
223	129	449
224	130	447
225	130	446
226	130	444
227	131	443
228	131	442
229	131	441
230	132	439
231	132	438
232	132	436
233	132	435
234	133	433
235	133	432
236	133	430
237	134	429
238	134	428
239	134	426
240	135	425
241	135	424
242	135	423
243	136	421
244	136	420
245	136	419
246	136	417
247	137	416
248	137	415
249	137	413
250	138	412
251	138	411
252	138	410
253	139	408
254	139	407
255	139	406
256	139	404
257	140	403
258	140	402
259	140	400
260	141	399
261	141	398
262	141	397
263	142	396
264	142	394
265	142	393
266	142	392
267	143	391
268	143	390
269	144	389
270	144	388
271	144	386
272	144	385
273	145	384
274	145	383
275	145	382
276	146	381
277	146	380
278	146	379
279	147	378
280	147	377
281	147	376
282	148	375
283	148	374
284	148	373
285	149	372
286	149	371
287	149	370
288	149	368
289	150	367
290	150	366
291	150	365
292	151	364
