iter	Passed	Remaining
0	59	59299
1	59	29761
2	59	19917
3	60	15004
4	60	12054
5	60	10083
6	61	8691
7	61	7641
8	61	6818
9	62	6171
10	62	5628
11	62	5177
12	63	4795
13	63	4469
14	63	4183
15	64	3942
16	64	3724
17	64	3530
18	64	3355
19	65	3199
20	65	3057
21	65	2927
22	66	2809
23	66	2700
24	66	2600
25	66	2508
26	67	2423
27	67	2344
28	67	2273
29	68	2206
30	68	2142
31	68	2084
32	69	2030
33	69	1980
34	70	1933
35	70	1888
36	70	1845
37	71	1804
38	71	1763
39	71	1725
40	72	1688
41	72	1655
42	72	1621
43	73	1590
44	73	1561
45	73	1532
46	74	1504
47	74	1477
48	74	1452
49	75	1428
50	75	1404
51	75	1381
52	76	1359
53	76	1338
54	76	1319
55	77	1299
56	77	1279
57	77	1261
58	77	1243
59	78	1225
60	78	1208
61	78	1191
62	79	1175
63	79	1160
64	79	1144
65	79	1130
66	80	1116
67	80	1102
68	80	1090
69	81	1077
70	81	1065
71	81	1054
72	82	1042
73	82	1033
74	82	1022
75	83	1012
76	83	1002
77	83	991
78	84	981
79	84	971
80	84	961
81	85	953
82	85	942
83	85	933
84	85	924
85	86	915
86	86	908
87	86	900
88	87	892
89	87	884
90	87	876
91	88	869
92	88	861
93	88	854
94	88	847
95	89	840
96	89	833
97	89	826
98	90	819
99	90	813
100	90	806
101	90	800
102	91	797
103	92	792
104	92	787
105	92	781
106	92	775
107	93	770
108	93	764
109	93	759
110	94	754
111	94	749
112	94	744
113	95	739
114	95	734
115	95	729
116	96	724
117	96	720
118	96	715
119	97	711
120	97	707
121	97	703
122	98	699
123	98	695
124	98	691
125	99	688
126	99	685
127	100	682
128	100	678
129	100	675
130	101	671
131	101	667
132	101	664
133	102	661
134	102	659
135	103	655
136	103	652
137	103	648
138	104	645
139	104	641
140	104	638
141	104	634
142	105	631
143	105	628
144	106	625
145	106	622
146	106	619
147	107	616
148	107	613
149	107	611
150	108	608
151	108	605
152	108	603
153	109	600
154	109	598
155	110	595
156	110	592
157	110	590
158	111	587
159	111	584
160	111	581
161	112	579
162	112	576
163	112	574
164	112	571
165	113	568
166	113	566
167	113	563
168	114	561
169	114	558
170	114	556
171	115	554
172	115	552
173	115	550
174	116	547
175	116	545
176	116	543
177	117	541
178	117	539
179	118	537
180	118	535
181	118	533
182	119	531
183	119	529
184	119	527
185	120	525
186	120	523
187	120	520
188	120	518
189	121	516
190	121	514
191	121	512
192	122	510
193	122	509
194	122	507
195	123	505
196	123	504
197	123	502
198	124	500
199	124	498
200	125	497
201	125	495
202	125	493
203	126	492
204	126	490
205	126	489
206	127	487
207	127	485
208	127	484
209	128	482
210	128	480
211	128	479
212	129	477
213	129	476
214	130	474
215	130	473
216	130	471
217	131	470
218	131	468
219	131	467
220	132	465
221	132	464
222	132	462
223	133	461
224	133	459
225	133	457
226	133	456
227	134	454
228	134	453
229	135	452
230	135	450
231	135	449
232	136	448
233	136	447
234	136	445
235	137	444
236	137	443
237	138	441
238	138	440
239	138	439
240	139	437
241	139	436
242	139	435
243	139	433
244	140	432
245	140	430
246	140	429
247	141	428
248	141	426
249	141	425
250	142	424
251	142	423
252	142	421
253	143	420
254	143	419
255	143	418
256	144	416
257	144	415
258	144	414
259	145	413
260	145	412
261	145	410
262	146	410
263	146	409
264	147	408
265	147	407
266	148	406
267	148	405
268	148	404
269	149	402
270	149	402
271	149	401
272	150	399
273	150	398
274	150	397
275	150	395
276	151	394
277	151	393
278	151	391
279	151	390
280	152	389
281	152	387
282	152	386
283	152	385
284	153	384
285	153	382
286	153	381
287	153	380
288	154	379
289	154	377
290	154	376
291	154	375
292	155	374
293	155	373
294	155	371
295	155	370
296	156	369
297	156	368
298	156	367
299	156	366
300	157	365
301	157	363
302	157	362
303	157	361
304	158	360
305	158	359
306	158	358
307	159	357
308	159	356
309	159	355
310	159	353
311	160	352
312	160	351
313	160	350
314	160	350
315	161	348
316	161	347
317	161	347
318	162	346
319	162	345
320	162	344
321	163	343
322	163	342
323	163	341
324	163	340
325	164	339
326	164	338
327	164	337
328	164	336
329	165	335
330	165	334
331	165	333
332	166	332
333	166	331
334	166	330
335	166	329
336	167	328
337	167	327
338	167	326
339	167	325
340	168	324
341	168	323
342	168	323
343	168	322
344	169	321
345	169	320
346	169	319
347	169	318
348	170	317
349	170	316
350	170	315
351	171	314
352	171	314
353	171	313
354	171	312
355	172	311
356	172	310
357	172	309
358	172	308
359	173	307
360	173	306
361	173	306
362	173	305
363	174	304
364	174	303
365	174	302
366	174	301
367	175	300
368	175	300
369	175	299
370	175	298
371	176	297
372	176	296
373	176	295
374	177	295
375	177	294
376	177	293
377	177	292
378	178	292
379	178	291
380	178	290
381	179	289
382	179	288
383	179	288
384	179	287
385	180	286
386	180	285
387	180	284
388	180	284
389	181	283
390	181	282
391	181	281
392	181	281
393	182	280
394	182	279
395	182	278
396	182	277
397	183	277
398	183	276
399	183	275
400	184	274
401	184	274
402	184	273
403	184	272
404	185	271
405	185	271
406	186	271
407	186	270
408	186	269
409	186	268
410	187	268
411	187	267
412	187	266
413	187	265
414	188	265
415	188	264
416	188	263
417	188	262
418	189	262
419	189	261
420	189	260
421	189	260
422	190	259
423	190	258
424	190	257
425	190	257
426	191	256
427	191	255
428	191	255
429	191	254
430	192	253
431	192	253
432	192	252
433	193	251
434	193	251
435	193	250
436	193	249
437	194	249
438	194	248
439	194	247
440	195	247
441	195	246
442	195	246
443	196	245
444	196	244
445	196	244
446	196	243
447	197	242
448	197	242
449	197	241
450	197	240
451	198	240
452	198	239
453	198	238
454	198	238
455	199	237
456	199	237
457	199	236
458	200	235
459	200	235
460	200	234
461	200	233
462	201	233
463	201	232
464	201	231
465	201	231
466	202	230
467	202	230
468	202	229
469	202	228
470	203	228
471	203	227
472	203	226
473	203	226
474	204	225
475	204	225
476	204	224
477	204	223
478	205	223
479	205	222
480	205	222
481	206	221
482	206	220
483	206	220
484	206	219
485	207	218
486	207	218
487	207	217
488	207	217
489	208	216
490	208	216
491	208	215
492	209	214
493	209	214
494	209	213
495	209	213
496	210	212
497	210	212
498	210	211
499	211	211
500	211	210
501	211	209
502	211	209
503	212	208
504	212	208
505	212	207
506	212	207
507	213	206
508	213	205
509	213	205
510	213	204
511	214	204
512	214	203
513	214	202
514	214	202
515	215	201
516	215	201
517	215	200
518	215	200
519	216	199
520	216	198
521	216	198
522	216	197
523	217	197
524	217	196
525	217	196
526	217	195
527	218	194
528	218	194
529	218	193
530	218	193
531	219	192
532	219	192
533	219	191
534	219	191
535	220	190
536	220	189
537	220	189
538	220	188
539	221	188
540	221	187
541	221	187
542	221	186
543	221	186
544	222	185
545	222	184
546	222	184
547	222	183
548	223	183
549	223	182
550	223	182
551	223	181
552	224	181
553	224	180
554	224	180
555	225	179
556	225	179
557	225	178
558	225	178
559	226	177
560	226	177
561	226	176
562	226	176
563	227	175
564	227	175
565	227	174
566	227	174
567	228	173
568	228	173
569	228	172
570	229	172
571	229	171
572	229	171
573	229	170
574	230	170
575	230	169
576	230	169
577	230	168
578	231	168
579	231	167
580	231	166
581	231	166
582	232	165
583	232	165
584	232	164
585	232	164
586	232	163
587	233	163
588	233	162
589	233	162
590	233	161
591	234	161
592	234	160
593	234	160
594	234	159
595	235	159
596	235	158
597	235	158
598	235	157
599	236	157
600	236	156
601	236	156
602	236	155
603	237	155
604	237	154
605	237	154
606	237	153
607	238	153
608	238	153
609	238	152
610	238	152
611	239	151
612	239	151
613	239	150
614	239	150
615	240	149
616	240	149
617	240	148
618	240	148
619	241	147
620	241	147
621	241	146
622	241	146
623	242	145
624	242	145
625	242	145
626	243	144
627	243	144
628	243	143
629	243	143
630	244	142
631	244	142
632	244	141
633	244	141
634	245	140
635	245	140
636	245	139
637	245	139
638	246	139
639	246	138
640	246	138
641	246	137
642	247	137
643	247	136
644	247	136
645	247	135
646	248	135
647	248	134
648	248	134
649	248	133
650	249	133
651	249	133
652	249	132
653	249	132
654	250	131
655	250	131
656	250	130
657	250	130
658	251	129
659	251	129
660	251	128
661	251	128
662	251	128
663	252	127
664	252	127
665	252	126
666	252	126
667	253	125
668	253	125
669	253	124
670	253	124
671	254	124
672	254	123
673	254	123
674	254	122
675	255	122
676	255	121
677	255	121
678	256	121
679	256	120
680	256	120
681	256	119
682	257	119
683	257	118
684	257	118
685	258	118
686	258	117
687	258	117
688	258	116
689	259	116
690	259	115
691	259	115
692	259	115
693	259	114
694	260	114
695	260	113
696	260	113
697	260	112
698	261	112
699	261	112
700	261	111
701	261	111
702	262	110
703	262	110
704	262	109
705	262	109
706	263	109
707	263	108
708	263	108
709	263	107
710	264	107
711	264	106
712	264	106
713	264	106
714	265	105
715	265	105
716	265	104
717	265	104
718	266	104
719	266	103
720	266	103
721	266	102
722	267	102
723	267	101
724	267	101
725	267	101
726	268	100
727	268	100
728	268	99
729	268	99
730	269	99
731	269	98
732	269	98
733	269	97
734	270	97
735	270	96
736	270	96
737	270	96
738	271	95
739	271	95
740	271	94
741	271	94
742	272	94
743	272	93
744	272	93
745	273	92
746	273	92
747	273	92
748	273	91
749	274	91
750	274	90
751	274	90
752	274	90
753	275	89
754	275	89
755	275	88
756	275	88
757	276	88
758	276	87
759	276	87
760	276	86
761	277	86
762	277	86
763	277	85
764	277	85
765	278	84
766	278	84
767	278	84
768	278	83
769	279	83
770	279	82
771	279	82
772	279	82
773	280	81
774	280	81
775	280	80
776	280	80
777	281	80
778	281	79
779	281	79
780	281	79
781	282	78
782	282	78
783	282	77
784	282	77
785	283	77
786	283	76
787	283	76
788	283	75
789	284	75
790	284	75
791	284	74
792	284	74
793	285	73
794	285	73
795	285	73
796	285	72
797	285	72
798	286	71
799	286	71
800	286	71
801	286	70
802	287	70
803	287	70
804	287	69
805	288	69
806	288	68
807	288	68
808	288	68
809	289	67
810	289	67
811	289	67
812	289	66
813	289	66
814	290	65
815	290	65
816	290	65
817	291	64
818	291	64
819	291	63
820	291	63
821	292	63
822	292	62
823	292	62
824	292	62
825	293	61
826	293	61
827	293	60
828	293	60
829	294	60
830	294	59
831	294	59
832	294	59
833	295	58
834	295	58
835	295	57
836	295	57
837	296	57
838	296	56
839	296	56
840	296	56
841	297	55
842	297	55
843	297	55
844	297	54
845	298	54
846	298	53
847	298	53
848	298	53
849	299	52
850	299	52
851	299	52
852	299	51
853	300	51
854	300	50
855	300	50
856	300	50
857	301	49
858	301	49
859	301	49
860	302	48
861	302	48
862	302	48
863	302	47
864	302	47
865	303	46
866	303	46
867	303	46
868	303	45
869	304	45
870	304	45
871	304	44
872	304	44
873	305	44
874	305	43
875	305	43
876	306	42
877	306	42
878	306	42
879	306	41
880	307	41
881	307	41
882	307	40
883	307	40
884	308	40
885	308	39
886	308	39
887	308	38
888	309	38
889	309	38
890	309	37
891	309	37
892	310	37
893	310	36
894	310	36
895	310	36
896	311	35
897	311	35
898	311	35
899	311	34
900	312	34
901	312	33
902	312	33
903	312	33
904	313	32
905	313	32
906	313	32
907	313	31
908	314	31
909	314	31
910	314	30
911	314	30
912	315	30
913	315	29
914	315	29
915	315	28
916	316	28
917	316	28
918	316	27
919	317	27
920	317	27
921	317	26
922	317	26
923	317	26
924	318	25
925	318	25
926	318	25
927	318	24
928	319	24
929	319	24
930	319	23
931	319	23
932	320	22
933	320	22
934	320	22
935	320	21
936	321	21
937	321	21
938	321	20
939	321	20
940	322	20
941	322	19
